Week,Sales,Media spend,TV,Radio,Dailies,GRP,Campaign type 1,Campaign type 2,Campaign type 3,Competitor 1 Spend,Competitor 2 Spend
2007-01,3.562,0,0,0,0,0,1,0,0,302.000,1.094.000
2007-02,3.662,8.000,0,0,8.000,0,1,0,0,256.000,0
2007-03,4.678,1.594.000,918.000,676.000,0,102,1,0,0,932.000,0
2007-04,4.629,1.647.000,855.000,792.000,0,95,1,0,0,869.000,0
2007-05,4.858,1.487.000,585.000,902.000,0,117,1,0,0,1.588.000,1.084.000
2007-06,4.465,976.000,846.000,0,130.000,94,1,0,0,1.110.000,0
2007-07,3.852,1.315.000,999.000,0,316.000,111,1,0,0,1.441.000,428.000
2007-08,3.918,1.546.000,1.116.000,0,430.000,124,1,0,0,122.000,0
2007-09,3.740,422.000,0,0,422.000,0,1,0,0,262.000,0
2007-10,3.464,310.000,0,0,310.000,0,1,0,0,2.504.000,1.570.000
2007-11,3.257,130.000,0,0,130.000,0,1,0,0,2.678.000,1.316.000
2007-12,3.103,130.000,0,0,130.000,0,1,0,0,2.496.000,1.708.000
2007-13,3.214,376.000,0,0,376.000,0,1,0,0,1.764.000,1.908.000
2007-14,3.269,0,0,0,0,0,1,0,0,1.122.000,1.314.000
2007-15,3.269,0,1,0,0,111,0,1,0,1.322.000,1.308.000
2007-16,3.414,0,1,0,0,124,0,1,0,262.000,0
2007-17,3.315,0,0,0,0,0,0,1,0,0,1.748.000
2007-18,3.276,0,0,0,0,0,0,1,0,0,902.000
2007-19,3.553,0,0,0,0,0,0,1,0,0,0
2007-20,4.826,2.060.100,2.060.100,0,0,229,0,1,0,1.096.000,0
2007-21,4.918,2.184.000,1.980.000,690.000,0,220,0,1,0,3.676.000,1.682.000
2007-22,5.385,1.826.000,1.350.000,1.090.000,0,150,0,1,0,3.068.000,1.704.000
2007-23,6.342,7.000,1.065.600,428.000,0,118,0,1,0,2.163.600,1.084.000
2007-24,6.422,384.000,0,384.000,0,0,0,1,0,1.022.000,0
2007-25,6.288,0,0,220.000,0,0,0,1,0,1.098.000,0
2007-26,5.927,0,0,0,0,0,0,1,0,0,0
2007-27,5.539,0,2,146.000,0,0,0,1,0,0,0
2007-28,5.485,0,0,340.000,0,0,0,1,0,0,0
2007-29,5.600,996.100,656.100,490.000,0,73,0,1,0,670.100,0
2007-30,6.400,1.392.100,1.052.100,708.000,0,117,0,1,0,1.066.100,0
2007-31,6.055,1.594.200,1.330.200,490.000,0,148,0,1,0,1.344.200,0
2007-32,6.200,148.000,0,148.000,0,0,0,1,0,0,0
2007-33,5.504,176.000,0,176.000,0,0,0,1,0,0,0
2007-34,5.646,214.000,0,214.000,0,0,0,1,0,0,490.000
2007-35,4.869,348.000,0,348.000,0,0,0,1,0,0,1.084.000
2007-36,4.488,1.931.100,1.403.100,528.000,0,156,0,1,0,0,824.000
2007-37,4.162,2.005.800,1.477.800,528.000,0,164,0,1,0,0,670.000
2007-38,5.155,1.914.000,1.386.000,0,0,154,0,1,0,1.400.000,0
2007-39,4.753,1.382.900,1.080.900,0,-300,120,0,1,0,1.094.900,0
2007-40,3.939,0,0,0,290.000,0,0,1,0,2.639.000,1.750.000
2007-41,4.225,0,0,0,290.000,0,0,1,0,1.640.000,1.084.000
2007-42,3.991,0,0,490.000,246.000,0,0,1,0,1.712.000,1.132.000
2007-43,3.565,240.000,0,240.000,246.000,0,0,1,0,0,0
2007-44,4.321,562.000,0,562.000,110.000,0,0,1,0,0,0
2007-45,5.284,0,0,0,0,0,0,1,0,0,0
2007-46,6.033,799.200,799.200,0,0,89,0,0,1,1.096.000,0
2007-47,5.511,911.700,911.700,0,0,101,0,0,1,842.000,0
2007-48,5.902,730.800,730.800,0,0,81,0,0,1,728.000,0
2007-49,6.094,731.700,731.700,0,0,81,0,0,1,262.000,0
2007-50,5.045,0,0,0,0,0,0,0,1,0,0
2007-51,4.170,0,0,0,0,0,0,0,1,2.636.000,2.242.000
2007-52,3.905,0,0,0,0,0,0,0,1,2.237.000,1.482.000
2008-01,4.435,546.000,0,546.000,0,0,0,0,1,1.979.000,1.310.000
2008-02,6.347,1.439.400,725.400,714.000,0,81,0,0,1,3.265.400,1.684.000
2008-03,6.886,2.848.000,892.800,1.094.000,0,99,0,0,1,0,0
2008-04,6.620,1.508.000,802.800,820.000,0,89,0,0,1,0,0
2008-05,5.985,794.700,794.700,1.314.000,0,88,0,0,1,808.700,0
2008-06,5.688,0,0,0,0,0,0,0,1,262.000,0
2008-07,5.332,0,0,0,0,0,0,0,1,308.000,0
2008-08,5.034,0,0,0,0,0,0,0,1,0,0
2008-09,5.622,378.900,378.900,0,0,42,0,0,1,0,0
2008-10,5.015,844.200,574.200,0,0,64,0,0,1,588.200,0
2008-11,5.616,843.300,573.300,270.000,0,64,0,0,1,587.300,0
2008-12,6.069,1.508.000,641.700,270.000,0,71,0,0,1,655.700,0
2008-13,6.951,1.750.000,621.000,270.000,0,69,0,0,1,1.504.000,1.950.000
2008-14,6.086,1.314.000,490.000,270.000,0,183,0,0,1,1.330.000,1.750.000
2008-15,7.500,1.084.000,0,0,0,0,0,0,1,2.964.000,3.176.000
2008-16,5.994,956.000,0,0,0,0,0,0,1,262.000,0
2008-17,5.849,705.600,705.600,0,0,78,0,0,1,1.322.000,0
2008-18,5.532,935.000,855.000,0,80.000,95,0,0,1,262.000,0
2008-19,5.750,2.979.000,1.125.000,0,432.000,125,0,0,1,442.000,0
2008-20,6.212,2.550.000,810.000,1.422.000,318.000,90,0,0,1,440.000,0
2008-21,5.595,2.545.000,765.000,1.376.000,404.000,85,0,0,1,242.000,0
2008-22,6.274,1.961.000,585.000,1.376.000,0,65,0,0,1,599.000,0
2008-23,5.934,354.000,0,250.000,354.000,0,0,0,1,3.440.000,2.284.000
2008-24,4.977,294.000,0,0,294.000,0,0,0,1,2.939.000,1.950.000
2008-25,4.235,98.000,0,0,98.000,0,0,0,1,1.640.000,1.084.000
2008-26,3.552,470.000,0,0,470.000,0,0,0,1,318.000,0
2008-27,4.485,898.000,0,428.000,470.000,0,0,0,1,442.000,0
2008-28,4.100,898.000,0,428.000,470.000,0,0,0,1,1.985.000,1.314.000
2008-29,3.727,428.000,0,428.000,0,0,0,0,1,2.639.000,1.750.000
2008-30,3.483,0,0,0,0,0,0,0,1,916.000,1.570.000